Date,Open,High,Low,Close,Adj Close,Volume
2023-12-06,70.339996,70.339996,68.709999,69.070000,68.562965,117100
2023-12-07,69.389999,70.150002,68.870003,70.070000,69.555626,173900
2023-12-08,69.779999,70.580002,69.720001,70.250000,69.734306,142400
2023-12-11,70.580002,71.099998,70.269997,70.809998,70.290192,236700
2023-12-12,71.080002,71.709999,70.459999,71.459999,70.935425,207200
2023-12-13,71.379997,74.000000,71.220001,73.870003,73.327736,212400
2023-12-14,74.389999,74.989998,73.320000,73.629997,73.089493,312200
2023-12-15,74.160004,75.029999,73.620003,74.209999,73.665237,703300
2023-12-18,74.290001,74.349998,73.300003,73.709999,73.168907,173800
2023-12-19,74.209999,74.989998,74.209999,74.510002,73.963036,200500
2023-12-20,74.279999,75.290001,73.800003,73.879997,73.337654,196600
2023-12-21,74.510002,75.070000,74.059998,75.059998,74.508995,134200
2023-12-22,75.000000,76.099998,75.000000,75.720001,75.164154,91300
2023-12-26,76.110001,76.820000,75.860001,76.519997,75.958275,64400
2023-12-27,76.820000,76.910004,76.110001,76.300003,75.739899,80500
2023-12-28,76.169998,76.330002,75.739998,76.330002,75.769676,77400
2023-12-29,76.430000,76.489998,75.449997,75.779999,75.223709,103900
2024-01-02,75.209999,75.949997,74.839996,75.349998,74.796867,134100
2024-01-03,75.150002,75.540001,73.800003,73.870003,73.327736,191900
2024-01-04,73.919998,73.919998,72.430000,73.110001,72.573311,186800
2024-01-05,72.660004,73.540001,72.150002,72.849998,72.315216,147200
2024-01-08,72.970001,73.459999,72.379997,73.220001,72.682503,112000
2024-01-09,73.120003,73.379997,72.300003,72.940002,72.404564,189100
2024-01-10,82.000000,83.709999,75.790001,76.519997,75.958275,433700
2024-01-11,76.459999,77.470001,74.779999,75.389999,74.836571,237200
2024-01-12,76.320000,77.000000,75.410004,77.000000,76.434753,183400
2024-01-16,76.709999,77.830002,76.419998,76.860001,76.295784,200800
2024-01-17,76.150002,77.070000,75.489998,76.080002,75.521507,121400
2024-01-18,76.279999,76.739998,76.080002,76.550003,75.988060,101900
2024-01-19,77.110001,77.449997,75.930000,77.139999,76.573723,111900
2024-01-22,77.559998,79.169998,77.160004,77.610001,77.040276,98700
2024-01-23,78.029999,78.459999,76.260002,76.440002,75.878868,101400
2024-01-24,77.250000,77.250000,74.879997,75.260002,74.707527,91100
2024-01-25,75.980003,76.449997,75.320000,76.269997,75.710114,214900
2024-01-26,76.309998,76.559998,75.470001,75.839996,75.283264,95500
2024-01-29,75.769997,78.150002,75.769997,77.879997,77.308289,208100
2024-01-30,77.519997,78.180000,77.120003,77.949997,77.377777,89400
2024-01-31,77.980003,78.440002,75.730003,76.019997,75.461945,139300
2024-02-01,76.360001,77.059998,76.010002,77.040001,76.474464,117700
2024-02-02,77.620003,77.790001,76.139999,76.870003,76.305710,168600
2024-02-05,76.050003,76.379997,74.949997,75.120003,74.568558,173100
2024-02-06,74.959999,76.870003,74.739998,76.790001,76.226295,94600
2024-02-07,76.599998,77.779999,76.410004,77.419998,76.851669,275000
2024-02-08,77.559998,78.459999,77.559998,78.300003,77.725212,151300
2024-02-09,78.260002,79.080002,77.849998,78.860001,78.281105,159800
2024-02-12,78.739998,81.250000,78.739998,80.709999,80.117516,168500
2024-02-13,79.040001,79.669998,77.870003,79.010002,78.430000,343900
2024-02-14,79.110001,80.599998,78.269997,80.059998,80.059998,233400
2024-02-15,80.260002,81.699997,80.199997,81.290001,81.290001,107300
2024-02-16,80.919998,81.160004,80.190002,80.239998,80.239998,105200
2024-02-20,79.860001,80.970001,79.779999,80.080002,80.080002,181000
2024-02-21,80.199997,81.199997,79.970001,81.139999,81.139999,100000
2024-02-22,80.769997,82.190002,80.620003,82.059998,82.059998,196500
2024-02-23,81.970001,83.570000,81.839996,82.550003,82.550003,90600
2024-02-26,82.150002,82.889999,82.150002,82.739998,82.739998,79300
2024-02-27,83.279999,83.959999,83.160004,83.800003,83.800003,128500
2024-02-28,83.610001,84.910004,83.320000,83.790001,83.790001,129300
2024-02-29,84.699997,84.930000,83.739998,84.139999,84.139999,189400
2024-03-01,84.220001,84.349998,83.550003,83.730003,83.730003,74800
2024-03-04,83.510002,84.639999,83.510002,84.099998,84.099998,96500
2024-03-05,83.760002,84.550003,82.570000,82.779999,82.779999,85500
2024-03-06,83.489998,84.029999,82.870003,83.099998,83.099998,89600
2024-03-07,83.629997,84.709999,83.220001,83.980003,83.980003,149700
2024-03-08,84.419998,84.419998,82.680000,82.900002,82.900002,85900
2024-03-11,82.769997,83.519997,82.120003,83.260002,83.260002,107800
2024-03-12,83.139999,83.709999,82.389999,82.849998,82.849998,58400
2024-03-13,82.500000,83.070000,81.980003,82.449997,82.449997,85100
2024-03-14,82.449997,82.449997,80.570000,81.239998,81.239998,107700
2024-03-15,80.860001,81.720001,80.230003,80.669998,80.669998,286200
2024-03-18,80.669998,81.239998,80.209999,80.220001,80.220001,104700
2024-03-19,80.220001,81.027298,80.220001,80.690002,80.690002,100042
